lang_name,no_table_data_text,sort_label_text,filter_label_text,search_placeholder_text,page_next_text,page_previous_text,page_numbers_text,page_info_text,page_size_options_text,page_next_label_text,page_previous_label_text,page_number_label_text,page_jump_label_text,page_size_options_label_text
be,Табліца не змяшчае дадзеных,Сартаваць {name},Фільтраваць {name},Пошук,Наступны,Папярэдні,Старонка {page} з {pages},{rowStart}\u2013{rowEnd} з {rows} радкоў,Паказаць {rows},Наступная старонка,Папярэдняя старонка,Старонка {page},Перайсці на старонку,Радкі па старонцы
bem,Teyabulo tabo,Fwaya {name},Sivula {name},Shimikwa,Nshiku,Efyo mukulu,{page} wa {pages},{rowStart}\u2013{rowEnd} ya {rows} mapinda,Buka {rows},Ichi peshoni,Kupopoka wapya,Peyiji {page},Iyendele kubanja,Imimyalo yamapeji
bez,Komeza hakuna data,Husika {name},Huluka {name},Tafuta,Ifuatayo,Kinyume,{page} ya {pages},{rowStart}\u2013{rowEnd} ya {rows} safu,Onyesha {rows},Kurasa inayofwata,Kurasa iliyopita,Kurasa {page},Enda kwenye ukurasa,Namba ya nyuzi kila ukurasa
bg,Таблицата няма данни,Сортиране по {name},Филтриране по {name},Търсене,Следващ,Предишен,{page} от {pages},{rowStart}\u2013{rowEnd} от {rows} реда,Покажи {rows},Следваща страница,Предишна страница,Страница {page},Отиди на страница,Редове на страница
bm,La table est vide,Kono {name} ko,Kɛlen {name},Ko,Sɛɛrɛɛ ka diiɗo,Sini,{page} sɛbɛ {pages},Tɛ: {rows} dama {rowStart}\u2013{rowEnd},Mɔgɔ {rows},Kalo fila kelen,Folo kɔnɔ,Dɔgɔtɔ {page},Aller à la page,Tògò kɔnɔw bɛ́ kalan
bn,টেবিলে কোন তথ্য নেই,{name} সাজান,{name} ফিল্টার করুন,অনুসন্ধান,পরবর্তী,পূর্ববর্তী,{page} এর {pages},{rows}টি সারির মধ্যে {rowStart}\u2013{rowEnd},{rows} দেখাও,পরবর্তী পৃষ্ঠা,পূর্ববর্তী পাতা,পৃষ্ঠা {page},পৃষ্ঠায় যাও,প্রতি পৃষ্ঠায় সারি
bo,ཐིག་ཁྲམ་གཅིག་མ་གཏོགས།,གནའ་སྡེ་ {name},{name} ཁ་སྐྱོང་པའི་མཉམ་སྤེལ་བཟོ་བ།,འཚོལ་ཞིབ་,རྗེས་སུ་བོད་ཡིག་གི་མདོར་བསྡུ།,མཆོག་པ།,{page} གི {pages},{rows} ཕྱིར་འདེམས་ {rowStart}\u2013{rowEnd},{rows} བརྡ་མཚོ་འདེམ་པ།,ཤུགས་པའི་ཡིག་ཆ།,མཆན་པོ་རྗེས།,ཤོག་གི་ཤུགས་ {page},ཤོག་གི་ཡིག་ཆ་བསྐྱེད།,རང་གི་ཡིག་ཚགས་མདུན་སྒྲིག་པ།
br,N'eus ket titouroù eus ar stlenn,Sevel {name},Sillañ {name},Klask,War-lerc'h,A-raok,{page} eus {pages},{rowStart}\u2013{rowEnd} a-benn {rows} rannvouezh,Diskouezit {rows},Pajenn war-lerc'h,Pajenn a-raok,Pajenn {page},Mont war-zu ar bajenn,Linennou dre bajenn
brx,खुणखुणीयां मूल्य नाहीं,{name} जबाबदारी दर्शाओ,{name} ফিল্টার,Jwingnai,अर्को,Purbe,{page} এটা {pages}-ৰ,{rowStart}\u2013{rowEnd} от {rows} радкоў,{rows} फांस,Tikana pele,Mukhya panna,पृष्ठ {page},पृष्ठला जा,ꯏꯨꯝꯁ ꯃꯥ ꯃꯌꯥꯏꯄ ꯍꯧ
bs,Tabela nema podataka,Sortiraj {name},Filtriraj {name},Pretraga,Sljedeći,Prethodni,{page} od {pages},{rowStart}\u2013{rowEnd} od {rows} redova,Prikaži {rows},Sljedeća stranica,Prethodna stranica,Stranica {page},Idi na stranicu,Redovi po stranici
ca,La taula no té dades,Ordena per {name},Filtrar per {name},Cerca,Següent,Anterior,{page} de {pages},{rowStart}\u2013{rowEnd} de {rows} files,Mostra {rows},Pàgina següent,Pàgina anterior,Pàgina {page},Anar a la pàgina,Files per pàgina
ccp,ᱢᱤᱞᱟᱜᱼᱟ ᱠᱟᱶᱟ ᱚᱨᱛᱟ ᱨᱮ ᱡᱟᱱᱟᱣᱤ,{name} ᱥᱟᱹᱨᱥᱤ ᱚᱨᱛᱟ,{name} ᱯᱩᱨᱟᱭᱤ ᱚᱨᱛᱟ,ᱥᱮᱨᱟᱭᱟᱢ,ᱢᱨᱟᱱᱤ,ᱨᱟᱹᱨᱤᱱ,{page} ᱨᱮ ᱚᱨᱛᱟ {pages},{rowStart}\u2013{rowEnd} ᱠᱟᱶᱟ {rows} ᱨᱮ ᱥᱮᱨᱟᱭᱟᱢ,ᱥᱮᱨᱟᱭᱟᱢ ᱠᱟᱹᱨᱥᱤ ᱚᱨᱛᱟ {rows},ᱢᱨᱟᱱᱤ ᱨᱮ ᱚᱨᱛᱟ,ᱨᱟᱹᱨᱤᱱ ᱨᱮ ᱚᱨᱛᱟ,ᱨᱮ ᱡᱟᱱᱟᱣᱤ {page},ᱨᱮ ᱥᱟᱭᱨᱥᱤ ᱨᱮ ᱡᱟᱱᱟᱣᱤ,ᱨᱮ ᱢᱤᱞᱟᱜᱼᱟ ᱥᱮᱨᱟᱭᱟᱢ
ce,ХӀажар не ю рай,{name} ловкъ,{name} фильтр,Къайла,Йолуш,ДIуьхьара,{page} ба {pages}-ийн,{rowStart}\u2013{rowEnd} доьлжа {rows}-та,{rows}-кхо болу,ХӀажо страница,Къалдама страница,Бет {page},Страница хийцар,Керла матта дуьйца боьрта
ceb,Walay datos ang lamesa,Sort {name},Sang-at sa {name},Pangita,Sunod,Una sa una,{page} sa {pages},{rowStart}\u2013{rowEnd} sa {rows} nga mga laray,Ipakita {rows},Sunod nga panid,Nahibalik nga panid,Pahina {page},Adto sa panid,Mga row matag panid
cgg,Tebuula terina obutatizi,Kulaba {name},Saba {name},Kuguma,Ensiimu,Kukyala,{page} ya {pages},{rowStart}\u2013{rowEnd} ya {rows} ebyobulamu,Ebituufu {rows},Oluvanyuma olw'omu,Kurasa ebiwangwa,Kurupi {page},Genda mu kurasa,Ebikolwa ebirina mu lupapula
chr,ᏕᏓᏁᎸᎢ ᎠᏎᏢᎢ,{name} ᏙᏓᎸᏗᎢ,{name} ᏟᎡᎬᎠᎪᎬᏒ,ᏗᏓᏓᎿᏗ,ᏧᏙᎴᏅᏓ,ᎤᏕᏘᏴᏌᏗ,{page} ᎤᏙᏪᎸ {pages} ᎪᏪᎵ,{rows} ᎢᏳᎾᏛᏁᎸᎢ {rowStart}\u2013{rowEnd},ᎢᎬᏱ {rows},ᎡᎳᏗ ᎤᏩᏒ,ᎤᏕᏘᏴᏌᏗ ᎤᏠᏱᏍᏗ,ᎤᏪᏥ {page},ᏗᎧᏃᏗ ᎠᏍᏓᏩᏛᏗ,ᎠᏴᏓᏛᏛᏗ ᏂᎦᏓ
ckb,خشتەی سەرجەم داتا نییە,Sort {name},{name} پاڵاوکردن,ᱥᱟᱱᱛᱟᱲ,Дараа,Kui,{page} из {pages},{rowStart}\u2013{rowEnd} لە {rows} ڕیزەکاندا,{rows} پیشانبدە,پەڕەی دواتر,پەڕەی پێشوو,پەڕە {page},بڕۆ بۆ پەڕە,ڕیزی ڕیزە کردن
cs,Tabulka neobsahuje žádná data,Řadit podle {name},Filtrovat podle {name},Hledat,Další,Předchozí,{page} z {pages},{rowStart}\u2013{rowEnd} z {rows} řádků,Zobrazit {rows},Další stránka,Předchozí strana,Strana {page},Přejít na stránku,Řádků na stránku
cy,Nid oes data ar y tabl,Trefnu {name},Hidlo {name},Chwilio,Nesaf,Blaenorol,{page} o {pages},{rowStart}\u2013{rowEnd} o {rows} rhesi,Dangos {rows},Y dudalen nesaf,Tudalen flaenorol,Tudalen {page},Mynd i dudalen,Rhestrau fesul tudalen
da,Tabellen indeholder ingen data,Sorter efter {name},Filtrér efter {name},Søg,Næste,Forrige,{page} af {pages},{rowStart}\u2013{rowEnd} af {rows} rækker,Vis {rows},Næste side,Forrige side,Side {page},Gå til side,Rækker pr. side
dav,Meza hauna data,Soratia {name},Sagia {name},Kutafuta,Mbere,Kwenye,{page} ya {pages},{rowStart}\u2013{rowEnd} ya {rows} marachoni,Onyesha {rows},Kurasa ya mbere,Kurasa iyooye,Kujira {page},Oduka kujira,Mirengo ya ng'ombe kila ukurasa
de,Die Tabelle enthält keine Daten,Nach {name} sortieren,Filtern nach {name},Suche,Weiter,Zurück,{page} von {pages},{rowStart}\u2013{rowEnd} von {rows} Zeilen,Zeige {rows},Nächste Seite,Vorherige Seite,Seite {page},Zur Seite gehen,Zeilen pro Seite
dje,Ji taabule kaɓirɗe ma,Soye {name},Ji taabule kaɓirɗe {name},Nuna,Këna,Daga,{page} ga {pages},{rowStart}\u2013{rowEnd} ga {rows} fasara,Nii {rows} fa,Sahada kodi,Kurasa ya gobarar,Paje {page},Yi hanyar sauri,Niima ceeri kulaar
doi,टेबल में कोई डेटा नहीं हैं,{name} सॉर्ट करें,{name} फिल्टर करें,ਖੋਜ,अगला,आगा,{page} ਦੇ {pages} ਵਿੱਚ,{rowStart}\u2013{rowEnd} दे {rows} पंक्तियाँ,{rows} ਨੂੰ ਦਿਖਾਓ,ਅਗਲਾ ਸਫ਼ਾ,ਪਿਛਲਾ ਸਫ਼ਾ,ਸਫ਼ਾ {page},ਸਫ਼ਾ ਵੱਲ ਜਾਓ,प्रति पन्ने लाइनें
dsb,Tabulka njema datow,{name} narańkować,Filtrować po {name},Pytaś,Dalši,Předchadźajoći,{page} z {pages},{rowStart}\u2013{rowEnd} z {rows} rjadkow,Wudźa {rows},Dalša strona,Předchadźajuca strona,Strona {page},Do strony přejść,Rědkow na stronje
dua,Taebl nuna njoŋ,Nji {name} mɛ,Filtrer {name},Njwɛ,Ngeyem,Kɛɛ́ɗɔ́ɔ̀,{page} na {pages},{rowStart}\u2013{rowEnd} na {rows} nkɔɔntɔ,Nyɛ {rows},Ku nɔmbɔ njaŋɛ,Ngie kɛ mbele,Leb {page},Kɔɔna bɛ̌ ńda,Njama'a kɔntɔŋ kila pɛjɛ
dyo,Tabal yi dëkkal,Jot {name},Filtiri {name},Jang,Li mu neex,Yow,{page} ci {pages},{rowStart}\u2013{rowEnd} nga {rows} row,Wone {rows},Jot na,Jëfandikukat,Fukk {page},Jot ci biir,Gëstu jéemaanu kënjëëlu fof
dz,ཐིག་ཁྲམ་འདི་གཅིག་མ་ཡིན་པའི་ཡོད་པའི་ཚད་གཞི་འདུག,{name} བཙུགས་པའི་རིམ་ལུགས་,{name} ནང་དོན་བཟོ་བ།,འཚོལ་ཞིབ་,འཛོམས་སུ་བོད་ཡིག་གི་མདོར་བསྡུ།,སྔོན་བྱེད།,{page} ནས {pages} གནས་,{rowStart}\u2013{rowEnd} ནང {rows} ལཱ་ཡུད་,{rows} སྟོན་པའི་བོད་ཡིག་འདེམ་པར་སྟེ།,ཤུགས་པའི་ཡིག་ཆ་བརྗོད་པ།,ཧེ་མ་ལས་པའི་ནང་དོན།,ཤུགས་ {page},ཤོག་གི་ཡིག་ཆ་ཕྱོགས།,དཀར་ཆག་རང་གི་ཡིག་ཚགས་གནང་རོགས།
ebu,Kuna hayo ya kwenye jedwali,Thibitie {name},Chungithia {name},Kũhĩra,Ifuatayo,Itheru,{page} ya {pages},Mibare {rows} ya {rowStart}\u2013{rowEnd},Onesha {rows},Kalya sa uma,Kuyikhaṫa kusukela,Kurasa {page},Nenda kwenye ukurasa,Ng'ombe kila ukurasa
ee,Table nyi nɔlɔi nutifafa,Gbedodo {name},Tso {name},Kple,Dzigbordi,Kɔ dzi,{page} le {pages},{rowStart}\u2013{rowEnd} kple {rows} dometɔwo,Kple {rows} sia,Dedeɛwo ƒe ŋkɔ,Kɔ ɖe ŋkɔna,Dede {page},Gaa le lɔ̃,ŋutɔwoe sia page
el,Ο πίνακας δεν περιέχει δεδομένα,Ταξινόμηση κατά {name},Φιλτράρισμα ανά {name},Αναζήτηση,Επόμενος,Προηγούμενος,{page} από {pages},{rowStart}\u2013{rowEnd} από {rows} σειρές,Εμφάνιση {rows},Επόμενη σελίδα,Προηγούμενη σελίδα,Σελίδα {page},Μετάβαση στη σελίδα,Γραμμές ανά σελίδα
en,Table has no data,Sort {name},Filter {name},Search,Next,Previous,{page} of {pages},{rowStart}\u2013{rowEnd} of {rows} rows,Show {rows},Next page,Previous page,Page {page},Go to page,Rows per page
eo,La tabelo ne enhavas datumojn,Ordigu laŭ {name},Filtri laŭ {name},Serĉi,Sekva,Antaŭa,{page} el {pages},{rowStart}\u2013{rowEnd} el {rows} linioj,Montru {rows},Sekva paĝo,Antaŭa paĝo,Paĝo {page},Iri al paĝo,Vicoj po paĝo
es,La tabla no tiene datos,Ordenar por {name},Filtrar por {name},Buscar,Siguiente,Anterior,{page} de {pages},{rowStart}\u2013{rowEnd} de {rows} filas,Mostrar {rows},Siguiente página,Página anterior,Página {page},Ir a la página,Filas por página
et,Tabelis pole andmeid,Sorteeri {name} järgi,Filtreeri {name} järgi,Otsi,Järgmine,Eelmine,{page} / {pages}-st,{rowStart}\u2013{rowEnd} {rows} reast,Näita {rows},Järgmine leht,Eelmine leht,Lehekülg {page},Mine lehele,Ridu lehe kohta
eu,Taulak ez du daturik,{name}ren arabera ordenatu,Iragazi {name} arabera,Bilatu,Hurrengoa,Aurrekoa,{page}-(e)ren {pages}-tik,{rowStart}\u2013{rowEnd} {rows} lerroetatik,{rows} erakutsi,Hurrengo orria,Aurreko orrialdea,Orrialdea {page},Joan orrialdera,Lerroak orrialde bakoitzean
ewo,Ngandi ñe table môan nja,Hɔnd {name} yé,Pɛsi {name},Hóó,Ntɛ́n,Ndzi,{page} a {pages},{rows} à {rowStart}\u2013{rowEnd} mva,Mone {rows},Ngane wogono,Ngɔn a mbele,Pahín {page},Nde mba'ane mba'ane,Minyango ya ndolo mebe'a meko
fa,جدول داده‌ای ندارد,مرتب سازی بر اساس {name},فیلتر {name},جستجو,بعدی,قبلی,{page} از {pages},{rowStart}\u2013{rowEnd} از {rows} سطر,نمایش {rows},صفحه‌ی بعدی,صفحه قبلی,صفحه {page},رفتن به صفحه,ردیف در هر صفحه
ff,Tabal yi maa joxo,Sarno {name},Yeesi {name},Yiylo,Jàngtiné,Sare,{page} ci {pages},{rowStart}\u2013{rowEnd} ci {rows} suuf,Uddit {rows},Jëfandikoo tànnol,Kuɓɛɓɛ ndijinaandi,Xët {page},Yeeso lekk,Seddooje yu ndee
fi,Taulukko ei sisällä tietoja,Lajittele {name}-kentän mukaan,Suodata {name},Hae,Seuraava,Edellinen,{page}/{pages},{rowStart}\u2013{rowEnd} / {rows} rivistä,Näytä {rows},Seuraava sivu,Edellinen sivu,Sivu {page},Siirry sivulle,Rivejä per sivu
fil,Walang datos ang lamesa,Iayos ang {name},I-filter ang {name},Maghanap,Susunod,Nakaraan,{page} ng {pages},{rowStart}\u2013{rowEnd} ng {rows} mga hanay,Ipakita ang {rows},Susunod na pahina,Nakaraang pahina,Pahina {page},Pumunta sa pahina,Mga hilera kada pahina
fo,Taflan er tóm,Raðfesta eftir {name},Filtrera eftir {name},Leita,Næsta,Undan,{page} av {pages},{rowStart}\u2013{rowEnd} av {rows} røðum,Vís {rows},Næsta síða,Undanfarna blað,Síða {page},Far til síðu,Raðir per síðu
fr,Le tableau ne contient pas de données,Trier par {name},Filtrer par {name},Rechercher,Suivant,Précédent,{page} sur {pages},{rowStart}\u2013{rowEnd} sur {rows} lignes,Afficher {rows},Page suivante,Page précédente,Page {page},Aller à la page,Lignes par page
fur,La tabel no à datis,Ordinâ par {name},Filtri su {name},Cercjâ,Prossim,Vuart,{page} di {pages},{rowStart}\u2013{rowEnd} di {rows} rigjis,Mostri {rows},Pagjine seguente,Pagjine prinzipâl,Pagjine {page},Va a la pagjine,Fileis par pagjine
fy,De tabel hat gjin gegevens,Sortearje nei {name},Fylterje op {name},Sykje,Folgjende,Foarige,{page} fan {pages},{rowStart}\u2013{rowEnd} fan {rows} rigen,{rows} sjen,Folgjende side,Foarige side,Side {page},Gean nei side,Rigen per side
ga,Níl aon sonraí sa tábla,Sórtáil de réir {name},Scagaire {name},Cuardaigh,Ar Aghaidh,Roimhe seo,{page} as {pages},{rowStart}\u2013{rowEnd} de {rows} sraitheanna,Taispeáin {rows},An leathanach seo chugainn,Leathanach roimhe seo,Leathanach {page},Téigh go dtí leathanach,Ráithe ar gach leathanach
gd,Cha chòrd e ris gu bheil aon dhàta anns an taigh-staile,Sreath {name},Cuir sguir air {name},Sgùr,An Ath-sgeul,Roimhe,{page} de {pages},{rowStart}\u2013{rowEnd} de {rows} raonan,Seall {rows},An duilleag air ais,An duilleag roimhe seo,Duilleag {page},Rach gu duilleag,Rangachdan air gach duilleag
gl,A táboa non ten datos,Ordenar por {name},Filtrar por {name},Buscar,Seguinte,Anterior,{page} de {pages},{rowStart}\u2013{rowEnd} de {rows} filas,Amosar {rows},Páxina seguinte,Páxina anterior,Páxina {page},Ir á páxina,Filas por páxina
gsw,D'Tabelle het kaii Date,Sortiere no {name},Filtriere no {name},Sueche,Nächschti,Vorherige,{page} vo {pages},{rowStart}\u2013{rowEnd} vo {rows} Ryyge,Zeig {rows},Nächscht Syte,Vorigi Syte,Sita {page},Zur Sita goh,Ryyge pro Syte
gu,ટેબલમાં કોઈ ડેટા નથી,{name} ને ક્રમબદ્ધ કરો,{name} ફિલ્ટર કરો,શોધો,આગામી,પહેલાનું,{page} ની {pages},{rows} પંક્તિઓમાંથી {rowStart}\u2013{rowEnd},{rows} બતાવો,આગામી પૃષ્ઠ,પાછળનો પેજ,પૃષ્ઠ {page},પૃષ્ઠને જાઓ,પ્રતિ પૃષ્ઠે પંક્તિઓ
guz,Meza haina data,Siria {name},Egeta {name},Gwata,Erokamano,Chunya,{page}/{pages},{rowStart}\u2013{rowEnd} ya {rows} saboti,Onsongo {rows},Kurasa inayo,Kurasa kabla,Kurasa {page},Ong'o e págín,Marach y'ekuragati
gv,Cha nel d'dhatayn ayns y thie-tashtey,Sooilltagh le {name},Filtar rish {name},Chyndaa,Ny taishbyney,Roish shoh,{page} jeh {pages},{rows} ronney ny {rowStart}\u2013{rowEnd},Soyr {rows},Ny slyst er-lhiat,Ny slyst roish shen,Pajjil {page},Gow magh dys y chadjinney,Riedyn er kione shliggagh
ha,Tabil yana da bayanai,Sanya {name},Sanya ta {name},Nema,Gaba,Kafin,{page} daga {pages},{rowStart}\u2013{rowEnd} daga {rows} layuka,{rows} nuna,Shafi na gaba,Shafin ƙarshe,Baya {page},Taimaka zuwa shafi,Satuna a kowane shafin
haw,ʻAʻole loaʻa ka papaʻōlelo,Hoʻāʻo ʻia {name},Haʻi ʻia {name},ʻimi,Hopena,Ma mua,{page} o {pages},{rowStart}\u2013{rowEnd} o nā {rows} pihe,Hōʻike i {rows},ʻO ka ʻaoʻao i koe aku,ʻO muaʻi ʻaoʻao,ʻaoʻao {page},E hele i kekahi aoao,Pākuhi ma kila ʻaoʻao
he,הטבלה לא מכילה נתונים,מיין לפי {name},סנן לפי {name},חיפוש,הבא,קודם,{page} מתוך {pages},{rowStart}\u2013{rowEnd} מתוך {rows} שורות,הצג {rows},העמוד הבא,עמוד קודם,עמוד {page},עבור לדף,שורות לעמוד
hi,तालिका में कोई डेटा नहीं है,{name} को क्रमबद्ध करें,{name} को फ़िल्टर करें,खोजें,अगला,पिछला,{page} का {pages} में से,{rows} पंक्तियों में से {rowStart}\u2013{rowEnd},{rows} दिखाएँ,अगला पृष्ठ,पिछला पृष्ठ,पृष्ठ {page},पृष्ठ पर जाएं,प्रति पृष्ठ रोवें
hr,Tablica nema podataka,Sortiraj prema {name},Filtriraj po {name},Traži,Sljedeći,Prethodni,{page} od {pages},{rowStart}\u2013{rowEnd} od {rows} redaka,Prikaži {rows},Sljedeća stranica,Prethodna stranica,Stranica {page},Idi na stranicu,Redovi po stranici
hsb,Tabela njema datow,{name} namakać,Filtrować po {name},Pytać,Dalši,Předchadźający,{page}. z {pages},{rowStart}\u2013{rowEnd} z {rows} rjadkow,Wukazać {rows},Dalša strona,Předchozna strona,Strona {page},K stronje přeći,Rjady na stronje
hu,Az asztal nem tartalmaz adatokat,Rendezés {name}-ra,Szűrés {name} szerint,Keresés,Következő,Előző,{page}/{pages},{rows} sorból {rowStart}\u2013{rowEnd},Mutat {rows},Következő oldal,Előző oldal,Oldal {page},Ugrás az oldalra,Sorok oldalanként
hy,Աղյուսակը չի պարունակում տվյալներ,Դասավորել {name}-ը,{name} ֆիլտր,Որոնում,Հաջորդ,Նախորդ,{page} / {pages},{rows} շարքերից {rowStart}\u2013{rowEnd},Ցուցադրել {rows},Հաջորդ էջ,Նախորդ էջ,Էջ {page},Գնալ էջում,Տողեր էջի մեկնարկի մեջ
ia,Le tabella non ha datos,Ordinar per {name},Filtrar per {name},Cercar,Sequente,Anterior,{page} de {pages},{rowStart}\u2013{rowEnd} de {rows} files,Monstra {rows},Pagina sequente,Pagina precedente,Pagina {page},Ire a pagina,Files per pagina
id,Tabel tidak ada data,Urutkan berdasarkan {name},Saring {name},Cari,Berikutnya,Sebelumnya,{page} dari {pages},{rowStart}\u2013{rowEnd} dari {rows} baris,Tampilkan {rows},Halaman berikutnya,Halaman sebelumnya,Halaman {page},Pergi ke halaman,Baris per halaman
ig,Tèbulụ enweghị data,Hazi {name},Hụ {name},Chọọ,N'ime ọhụrụ,Ọkụkọ nꞌime,{page} nke {pages},{rows} akọkọ {rowStart}\u2013{rowEnd},Nwee {rows} kpọọ,Ọdaa ahụ nke ọzọ,Afọ ọhụrụ,Ụlọ {page},Weghachitere isi aka,Ndi ọkọlọtọ maka njikwa
ii,ꀕꑭꉙꏸ ꏓꂱꀋ ꏃꏈ ꀝꇩꉙ ꁱꂷ,ꎸꄑ {name},ꀕꑭꉙꏸ ꇙꏃ {name},ꆈꌠꉙ,ꎸꄑ,ꆪꉙ,{page}/{pages},{rows} ꀅꑋꆪ {rowStart}\u2013{rowEnd},ꃅꏘ ꑍꅏ {rows} ꃅꏧꅏꅀ,ꏍꉏꃅꏍ,ꀕꋍ ꂵꏂꉌ,ꀕꆳꆲ {page},ꆀꁱꋍ ꂵꉧꀎ,ꆏꁠꑛ ꆚꆒꁱꂷ ꆏꏁꑛ
is,Taflan er tómt,Raða eftir {name},Sía eftir {name},Leita,Næsta,Fyrri,{page} af {pages},{rowStart}\u2013{rowEnd} af {rows} röðum,Sýna {rows},Næsta síða,Fyrri síða,Síða {page},Fara á síðu,Raðir á síðu
it,La tabella non ha dati,Ordina per {name},Filtra per {name},Cerca,Successivo,Precedente,{page} di {pages},{rowStart}\u2013{rowEnd} di {rows} righe,Mostra {rows},Pagina successiva,Pagina precedente,Pagina {page},Vai alla pagina,Righe per pagina
ja,テーブルにデータがありません,{name}で並べ替え,{name}でフィルター,検索,次へ,前へ,{page}/{pages},{rows} 行中 {rowStart}\u2013{rowEnd} 行目,{rows} 表示,次のページ,前のページ,ページ {page},ページに移動,ページごとの行数
jgo,Table na kwə nyama ndəm,Fombe {name},Fɛn {name},Cɔɔ,Nshom mii,Mbeʼndɔ́ɔ̀,{page} a {pages},{rowStart}\u2013{rowEnd} ji {rows} kibanda,La {rows},Ngambe njɔɔm,Nyɛmbe mbuʼ,Nyɛm {page},Wu ngeh nji nguva,Ntsu ya miŋa'a mebe'a meko
jmc,Jedwali halina data,Panga {name},Hulula {name},Chagu,Fuata,Kabla,{page} ya {pages},{rows} ya {rowStart}\u2013{rowEnd} ya mistari,Onyesha {rows},Kurasa Inayofuata,Kurasa ya nyuma,Kurasa {page},Tembelea ukurasa,Mstari kila ukurasa
jv,Tabel ora ana data,Urutna {name},Saring {name},Golèk,Sabanjure,Mundur,{page} saka {pages},{rowStart}\u2013{rowEnd} saka {rows} baris,Tembong {rows},Kaca munggah,Kaca Sadurungé,Kaca {page},Mlebu menyang kaca,Baris sak lembar
ka,ცხრილში არ არის მონაცემები,{name}-ით დახატვა,ფილტრავს {name}-ით,ძებნა,შემდეგი,წინა,{page} სანახავად {pages}-დან,{rowStart}\u2013{rowEnd} {rows} სტრიქონიდან,აჩვენე {rows},შემდეგი გვერდი,წინა გვერდი,გვერდი {page},გადასვლა გვერდზე,ხაზები თითო გვერდზე
