lang_name,no_table_data_text
sq,Tabela nuk ka të dhëna
sr,Табела нема података
su,Tabel henteu na data
sv,Tabellen har ingen data
sw,Jedwali haina data yoyote
ta,அட்டவசரம் தரவு இல்லை
te,టేబుల్ లో డేటా లేదు
teo,Komeza hakuna data
tg,Ҷадвали маълумот дорад
th,ตารางไม่มีข้อมูล
ti,ታቦል ምንም መረጃ አይደለም
tk,Jadygöniň içinde maglumat ýok
to,Tebile 'ikai ha 'osi
tr,Tabloda veri yok
tt,Күрәк йоклаулары юк
twq,Table ndi saaɗa tawɛ
tzm,ⵜⴰⴱⴷⴷⴰⵍⵜ ⵓⵔⵏⵓ ⵢⵓⵏⵓ
ug,جەدۋەلدە ئۇچۇر يوق
uk,У таблиці немає даних
und,Table has no data
ur,خانہ کوئی ڈیٹا نہیں ہے
uz,Jadvallikda ma'lumot yo'q
vai,ꕉꕜ ꕶꕱꕆꕌ ꕮꕊꕯꕆ ꔻꕆ ꕢꕴꔹꕆ
vi,Bảng không có dữ liệu
vun,Meza hauna data
wae,Täfelä han kei Daten
wo,Tabal yi am nañu defar
xh,Iteybheli ayinakho okanye akukho data
xog,Tebuluune haana data
yav,Nyem tavlo da nyem ngyet
yi,טייבל האט קיין דאטן
yo,Tabili kò lè ṣe dátà
yrl,Table has no data
yue,表冇數據
zgh,الجدول ماكاينش داتا
zh,表格没有数据
zu,Akukho data engekho kwezitolo
  ,
